-26.35781	75.87257	1961
-6.87255	69.78987	1962
7.66325	73.68877	1963
13.1797	83.93044	1964
13.62472	97.4701	1965
7.65703	103.18117	1966
-8.09327	95.49669	1967
-6.57145	90.37133	1968
13.74042	98.88989	1969
16.14768	111.82273	1970
4.1008	117.18159	1971
1.28035	130.11127	1972
5.46413	155.07844	1973
0.20821	157.99938	1974
6.79679	175.86575	1975
-3.11086	162.92051	1976
6.1436	182.67857	1977
10.21521	154.97206	1978
6.17422	182.2847	1979
6.45639	193.02205	1980
3.86103	195.30541	1981
7.50508	201.44475	1982
9.30907	223.25195	1983
13.69837	248.28891	1984
11.96495	291.77449	1985
7.19369	279.18511	1986
9.82465	249.41279	1987
9.52234	280.96786	1988
2.51614	307.48999	1989
2.28806	314.4306	1990
7.72016	329.74909	1991
12.80898	362.80841	1992
12.69694	373.80002	1993
11.82887	469.21319	1994
9.70158	604.22806	1995
8.85307	703.1208	1996
8.18707	774.46716	1997
6.77055	820.86308	1998
6.67237	864.73031	1999
7.54921	949.17806	2000
7.51618	1041.6377	2001
8.37147	1135.44795	2002
9.31698	1273.64074	2003
9.44802	1490.38006	2004
10.64734	1731.12524	2005
12.07247	2069.34363	2006
13.60512	2651.26012	2007
9.03986	3413.58866	2008
8.65821	3749.27242	2009
9.8681	4433.36122	2010
8.77754	5447.34142	2011
7.27604	6091.01435	2012
